Phone Number,cluster,Recommended_Plan_1,Plan_1_ID,Plan_1_Cluster,Plan_1_Price,Plan_1_Score,Plan_1_Coverage,Plan_1_Utilization,Plan_1_Price_Score,Plan_1_Cluster_Score,Plan_1_Overage_Penalty,Plan_1_Fully_Covered,Recommended_Plan_2,Plan_2_ID,Plan_2_Cluster,Plan_2_Price,Plan_2_Score,Plan_2_Coverage,Plan_2_Utilization,Plan_2_Price_Score,Plan_2_Cluster_Score,Plan_2_Overage_Penalty,Plan_2_Fully_Covered,Recommended_Plan_3,Plan_3_ID,Plan_3_Cluster,Plan_3_Price,Plan_3_Score,Plan_3_Coverage,Plan_3_Utilization,Plan_3_Price_Score,Plan_3_Cluster_Score,Plan_3_Overage_Penalty,Plan_3_Fully_Covered
327-9341,0,HH Starter,C1-P1,0,34.69,0.8152,0.8307,0.8755,0.9582,1,0.0902,False,HH Basic,C1-P2,0,39.29,0.7977,0.8648,0.8328,0.846,1,0.1352,False,HH Standard,C1-P3,0,42.72,0.7873,0.8875,0.8062,0.7781,1,0.1662,False
327-9957,1,MB Basic,C2-P2,1,37.32,0.9247,1.0,0.7671,0.8907,1,0.24,True,MB Standard,C2-P3,1,42.9,0.8729,1.0,0.6342,0.7748,1,0.3843,True,MB Value,C2-P4,1,48.15,0.8459,1.0,0.5759,0.6903,1,0.4403,True
328-1206,0,HH Select,C1-P6,0,54.2,0.9028,1.0,0.8255,0.6133,1,0.1305,True,HH Advance,C1-P7,0,58.5,0.8852,1.0,0.7775,0.5682,1,0.1669,True,HH Starter,C1-P1,0,34.69,0.8271,0.7863,0.9875,0.9582,1,0.0066,False
328-1222,0,HH Select,C1-P6,0,54.2,0.9027,1.0,0.8284,0.6133,1,0.1357,True,HH Advance,C1-P7,0,58.5,0.8849,1.0,0.777,0.5682,1,0.1687,True,HH Starter,C1-P1,0,34.69,0.8128,0.762,0.955,0.9582,1,0.0274,False
328-1373,0,HH Standard,C1-P3,0,42.72,0.9389,1.0,0.8706,0.7781,1,0.0841,True,HH Value,C1-P4,0,47.43,0.8974,1.0,0.7458,0.7008,1,0.1959,True,HH Plus,C1-P5,0,51.51,0.8766,1.0,0.6926,0.6453,1,0.2407,True
328-1522,1,MB Plus,C2-P5,1,52.23,0.8936,1.0,0.778,0.6364,1,0.1855,True,MB Starter,C2-P1,1,33.24,0.8283,0.8032,0.9412,1.0,1,0.0384,False,MB Basic,C2-P2,1,37.32,0.8213,0.8518,0.92,0.8907,1,0.0588,False
328-1768,0,HH Value,C1-P4,0,47.43,0.9209,1.0,0.8374,0.7008,1,0.0984,True,HH Plus,C1-P5,0,51.51,0.9,1.0,0.7817,0.6453,1,0.1407,True,HH Select,C1-P6,0,54.2,0.8874,1.0,0.749,0.6133,1,0.1692,True
328-2110,1,MB Standard,C2-P3,1,42.9,0.923,1.0,0.8025,0.7748,1,0.1361,True,MB Value,C2-P4,1,48.15,0.8928,1.0,0.7306,0.6903,1,0.2034,True,MB Plus,C2-P5,1,52.23,0.8728,1.0,0.6847,0.6364,1,0.2541,True
328-2236,1,MB Standard,C2-P3,1,42.9,0.8995,1.0,0.7229,0.7748,1,0.2513,True,MB Value,C2-P4,1,48.15,0.8693,1.0,0.6487,0.6903,1,0.3153,True,MB Plus,C2-P5,1,52.23,0.8494,1.0,0.6031,0.6364,1,0.3654,True
328-2478,0,HH Plus,C1-P5,0,51.51,0.8974,1.0,0.7804,0.6453,1,0.1645,True,HH Select,C1-P6,0,54.2,0.8846,1.0,0.7447,0.6133,1,0.191,True,HH Advance,C1-P7,0,58.5,0.8672,1.0,0.6993,0.5682,1,0.229,True
328-2647,1,MB Starter,C2-P1,1,33.24,0.8144,0.737,0.9675,1.0,1,0.0187,False,MB Basic,C2-P2,1,37.32,0.8176,0.8024,0.9675,0.8907,1,0.0187,False,MB Standard,C2-P3,1,42.9,0.8017,0.8677,0.895,0.7748,1,0.0905,False
328-2982,1,MB Value,C2-P4,1,48.15,0.8727,1.0,0.6729,0.6903,1,0.3179,True,MB Plus,C2-P5,1,52.23,0.8521,1.0,0.6299,0.6364,1,0.3784,True,MB Starter,C2-P1,1,33.24,0.8524,0.9309,0.8802,1.0,1,0.0886,False
328-3266,0,HH Select,C1-P6,0,54.2,0.8865,1.0,0.7616,0.6133,1,0.1978,True,HH Advance,C1-P7,0,58.5,0.8689,1.0,0.7155,0.5682,1,0.2367,True,HH Starter,C1-P1,0,34.69,0.8368,0.8402,0.9563,0.9582,1,0.0245,False
328-3402,0,HH Plus,C1-P5,0,51.51,0.9062,1.0,0.8166,0.6453,1,0.1308,True,HH Select,C1-P6,0,54.2,0.8932,1.0,0.7786,0.6133,1,0.1554,True,HH Advance,C1-P7,0,58.5,0.8759,1.0,0.7332,0.5682,1,0.193,True
328-4231,1,MB Starter,C2-P1,1,33.24,0.8147,0.7156,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8192,0.7852,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8315,0.9096,0.9633,0.7748,1,0.0215,False
328-5050,0,HH Advance,C1-P7,0,58.5,0.8785,1.0,0.7556,0.5682,1,0.2006,True,HH Starter,C1-P1,0,34.69,0.817,0.7834,0.945,0.9582,1,0.0353,False,HH Basic,C1-P2,0,39.29,0.8252,0.867,0.945,0.846,1,0.0353,False
328-5188,0,HH Starter,C1-P1,0,34.69,0.827,0.7775,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8149,0.8194,0.9628,0.846,1,0.0219,False,HH Standard,C1-P3,0,42.72,0.808,0.8464,0.9415,0.7781,1,0.0382,False
328-6011,2,EM Advance,C3-P7,2,60.75,0.859,1.0,0.7089,0.5472,1,0.2937,True,EM Pro,C3-P8,2,63.42,0.851,1.0,0.6847,0.5241,1,0.3036,True,EM Elite,C3-P9,2,65.79,0.8457,1.0,0.672,0.5052,1,0.3089,True
328-6289,1,MB Starter,C2-P1,1,33.24,0.8111,0.7036,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8161,0.7749,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8359,0.9136,0.9783,0.7748,1,0.0119,False
328-6770,1,MB Value,C2-P4,1,48.15,0.9039,1.0,0.771,0.6903,1,0.1534,True,MB Plus,C2-P5,1,52.23,0.8837,1.0,0.7198,0.6364,1,0.1978,True,MB Starter,C2-P1,1,33.24,0.8669,0.8929,0.9953,1.0,1,0.0024,False
328-7209,1,MB Starter,C2-P1,1,33.24,0.8089,0.6962,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8133,0.7658,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.831,0.8984,0.9767,0.7748,1,0.0122,False
328-7252,0,HH Starter,C1-P1,0,34.69,0.8181,0.7478,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8216,0.8193,0.9946,0.846,1,0.0028,False,HH Standard,C1-P3,0,42.72,0.8154,0.8488,0.9713,0.7781,1,0.0162,False
328-7833,0,HH Plus,C1-P5,0,51.51,0.8357,1.0,0.5802,0.6453,1,0.4814,True,HH Select,C1-P6,0,54.2,0.8232,1.0,0.5534,0.6133,1,0.5183,True,HH Advance,C1-P7,0,58.5,0.8058,1.0,0.515,0.5682,1,0.5665,True
328-8147,1,MB Starter,C2-P1,1,33.24,0.8475,0.825,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8444,0.8823,0.981,0.8907,1,0.0103,False,MB Standard,C2-P3,1,42.9,0.8219,0.9392,0.8809,0.7748,1,0.082,False
328-8179,1,MB Value,C2-P4,1,48.15,0.9083,1.0,0.8018,0.6903,1,0.1552,True,MB Plus,C2-P5,1,52.23,0.8878,1.0,0.7505,0.6364,1,0.202,True,MB Starter,C2-P1,1,33.24,0.8351,0.8248,0.9425,1.0,1,0.0373,False
328-8230,1,MB Plus,C2-P5,1,52.23,0.9222,1.0,0.8894,0.6364,1,0.0663,True,MB Starter,C2-P1,1,33.24,0.818,0.7266,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8237,0.8002,1.0,0.8907,1,0.0,False
328-8747,1,MB Plus,C2-P5,1,52.23,0.904,1.0,0.8109,0.6364,1,0.1307,True,MB Starter,C2-P1,1,33.24,0.842,0.8068,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.849,0.8847,1.0,0.8907,1,0.0,False
328-8808,1,MB Standard,C2-P3,1,42.9,0.9356,1.0,0.8585,0.7748,1,0.0941,True,MB Value,C2-P4,1,48.15,0.9047,1.0,0.7747,0.6903,1,0.1503,True,MB Plus,C2-P5,1,52.23,0.8845,1.0,0.7228,0.6364,1,0.1938,True
328-8980,0,HH Starter,C1-P1,0,34.69,0.8107,0.742,0.9725,0.9582,1,0.0154,False,HH Basic,C1-P2,0,39.29,0.8167,0.8182,0.9725,0.846,1,0.0154,False,HH Standard,C1-P3,0,42.72,0.8229,0.8727,0.9725,0.7781,1,0.0154,False
328-9006,1,MB Starter,C2-P1,1,33.24,0.8392,0.7972,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8348,0.8524,0.9779,0.8907,1,0.0121,False,MB Standard,C2-P3,1,42.9,0.8197,0.9245,0.8867,0.7748,1,0.0688,False
328-9267,1,MB Plus,C2-P5,1,52.23,0.8718,1.0,0.6937,0.6364,1,0.2773,True,MB Starter,C2-P1,1,33.24,0.8495,0.8879,0.9195,1.0,1,0.0481,False,MB Basic,C2-P2,1,37.32,0.8391,0.933,0.8881,0.8907,1,0.0759,False
328-9315,2,EM Select,C3-P6,2,59.58,0.909,1.0,0.8859,0.5579,1,0.0754,True,EM Advance,C3-P7,2,60.75,0.9038,1.0,0.8682,0.5472,1,0.0848,True,EM Pro,C3-P8,2,63.42,0.8844,1.0,0.8076,0.5241,1,0.1531,True
328-9797,0,HH Starter,C1-P1,0,34.69,0.792,0.6608,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.7981,0.7374,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.8042,0.7915,1.0,0.7781,1,0.0,False
328-9869,1,MB Value,C2-P4,1,48.15,0.9183,1.0,0.8346,0.6903,1,0.1047,True,MB Plus,C2-P5,1,52.23,0.8977,1.0,0.7781,0.6364,1,0.1448,True,MB Starter,C2-P1,1,33.24,0.8488,0.8293,1.0,1.0,1,0.0,False
329-1410,0,HH Advance,C1-P7,0,58.5,0.8721,1.0,0.7328,0.5682,1,0.2306,True,HH Starter,C1-P1,0,34.69,0.8268,0.8162,0.945,0.9582,1,0.0353,False,HH Basic,C1-P2,0,39.29,0.8177,0.8661,0.91,0.846,1,0.0556,False
329-1955,0,HH Starter,C1-P1,0,34.69,0.8506,0.863,0.9898,0.9582,1,0.0053,False,HH Basic,C1-P2,0,39.29,0.8396,0.9112,0.9499,0.846,1,0.0314,False,HH Standard,C1-P3,0,42.72,0.8273,0.9292,0.9161,0.7781,1,0.056,False
329-2045,1,MB Value,C2-P4,1,48.15,0.9193,1.0,0.842,0.6903,1,0.106,True,MB Plus,C2-P5,1,52.23,0.8986,1.0,0.7845,0.6364,1,0.1454,True,MB Starter,C2-P1,1,33.24,0.8484,0.828,1.0,1.0,1,0.0,False
329-2204,1,MB Plus,C2-P5,1,52.23,0.8996,1.0,0.7908,0.6364,1,0.145,True,MB Starter,C2-P1,1,33.24,0.849,0.8301,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8458,0.8876,0.9801,0.8907,1,0.0108,False
329-2388,1,MB Standard,C2-P3,1,42.9,0.9313,1.0,0.8409,0.7748,1,0.1105,True,MB Value,C2-P4,1,48.15,0.9005,1.0,0.7585,0.6903,1,0.1677,True,MB Plus,C2-P5,1,52.23,0.8803,1.0,0.7068,0.6364,1,0.2116,True
329-2786,1,MB Starter,C2-P1,1,33.24,0.8048,0.6828,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8081,0.7482,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8199,0.8698,0.965,0.7748,1,0.0203,False
329-2789,0,HH Advance,C1-P7,0,58.5,0.9118,1.0,0.8877,0.5682,1,0.0655,True,HH Starter,C1-P1,0,34.69,0.7989,0.6838,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8042,0.7576,1.0,0.846,1,0.0,False
329-2918,1,MB Plus,C2-P5,1,52.23,0.9168,1.0,0.8669,0.6364,1,0.0867,True,MB Starter,C2-P1,1,33.24,0.8252,0.7506,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8304,0.8227,1.0,0.8907,1,0.0,False
329-3222,1,MB Value,C2-P4,1,48.15,0.8848,1.0,0.7073,0.6903,1,0.2484,True,MB Plus,C2-P5,1,52.23,0.8646,1.0,0.6586,0.6364,1,0.2963,True,MB Starter,C2-P1,1,33.24,0.8586,0.9184,0.9206,1.0,1,0.05,False
329-3458,1,MB Value,C2-P4,1,48.15,0.9092,1.0,0.8066,0.6903,1,0.1532,True,MB Plus,C2-P5,1,52.23,0.8888,1.0,0.7574,0.6364,1,0.2028,True,MB Starter,C2-P1,1,33.24,0.8424,0.8375,0.958,1.0,1,0.0253,False
329-4391,0,HH Value,C1-P4,0,47.43,0.884,1.0,0.6899,0.7008,1,0.2456,True,HH Plus,C1-P5,0,51.51,0.8636,1.0,0.6465,0.6453,1,0.3013,True,HH Select,C1-P6,0,54.2,0.8513,1.0,0.6209,0.6133,1,0.3386,True
329-4474,1,MB Plus,C2-P5,1,52.23,0.8967,1.0,0.7875,0.6364,1,0.1687,True,MB Starter,C2-P1,1,33.24,0.8261,0.7929,0.945,1.0,1,0.0353,False,MB Basic,C2-P2,1,37.32,0.8316,0.8658,0.945,0.8907,1,0.0353,False
329-5114,0,HH Advance,C1-P7,0,58.5,0.8871,1.0,0.7826,0.5682,1,0.1552,True,HH Starter,C1-P1,0,34.69,0.8242,0.7783,0.985,0.9582,1,0.008,False,HH Basic,C1-P2,0,39.29,0.8321,0.8609,0.985,0.846,1,0.008,False
329-5377,1,MB Standard,C2-P3,1,42.9,0.9112,1.0,0.7519,0.7748,1,0.1785,True,MB Value,C2-P4,1,48.15,0.8811,1.0,0.6824,0.6903,1,0.2479,True,MB Plus,C2-P5,1,52.23,0.8612,1.0,0.6399,0.6364,1,0.3023,True
329-5400,1,MB Starter,C2-P1,1,33.24,0.8109,0.7605,0.9225,1.0,1,0.0562,False,MB Basic,C2-P2,1,37.32,0.8127,0.8238,0.9185,0.8907,1,0.0582,False,MB Standard,C2-P3,1,42.9,0.7843,0.8629,0.8364,0.7748,1,0.1629,False
329-6144,1,MB Value,C2-P4,1,48.15,0.9355,1.0,0.9132,0.6903,1,0.0498,True,MB Plus,C2-P5,1,52.23,0.9148,1.0,0.8545,0.6364,1,0.0885,True,MB Starter,C2-P1,1,33.24,0.8263,0.7542,1.0,1.0,1,0.0,False
329-6191,0,HH Select,C1-P6,0,54.2,0.8926,1.0,0.7918,0.6133,1,0.182,True,HH Advance,C1-P7,0,58.5,0.8749,1.0,0.742,0.5682,1,0.2165,True,HH Starter,C1-P1,0,34.69,0.814,0.7833,0.9325,0.9582,1,0.0462,False
329-6192,1,MB Plus,C2-P5,1,52.23,0.902,1.0,0.809,0.6364,1,0.1482,True,MB Starter,C2-P1,1,33.24,0.8282,0.7869,0.9625,1.0,1,0.0221,False,MB Basic,C2-P2,1,37.32,0.8342,0.8615,0.9625,0.8907,1,0.0221,False
329-6562,0,HH Value,C1-P4,0,47.43,0.8999,1.0,0.7495,0.7008,1,0.176,True,HH Plus,C1-P5,0,51.51,0.8794,1.0,0.7007,0.6453,1,0.2251,True,HH Select,C1-P6,0,54.2,0.867,1.0,0.6735,0.6133,1,0.2602,True
329-6603,1,MB Value,C2-P4,1,48.15,0.9216,1.0,0.8482,0.6903,1,0.0922,True,MB Plus,C2-P5,1,52.23,0.9012,1.0,0.7944,0.6364,1,0.1344,True,MB Starter,C2-P1,1,33.24,0.8428,0.8093,1.0,1.0,1,0.0,False
329-6731,1,MB Standard,C2-P3,1,42.9,0.9326,1.0,0.8397,0.7748,1,0.0957,True,MB Value,C2-P4,1,48.15,0.9024,1.0,0.764,0.6903,1,0.1577,True,MB Plus,C2-P5,1,52.23,0.8824,1.0,0.717,0.6364,1,0.2058,True
329-7102,0,HH Basic,C1-P2,0,39.29,0.915,1.0,0.7498,0.846,1,0.2438,True,HH Standard,C1-P3,0,42.72,0.8927,1.0,0.7047,0.7781,1,0.2968,True,HH Value,C1-P4,0,47.43,0.8509,1.0,0.5865,0.7008,1,0.4222,True
329-7347,1,MB Starter,C2-P1,1,33.24,0.7964,0.6548,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.7982,0.7152,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.7932,0.8025,0.9367,0.7748,1,0.0424,False
329-8056,1,MB Value,C2-P4,1,48.15,0.8981,1.0,0.7614,0.6903,1,0.197,True,MB Plus,C2-P5,1,52.23,0.8776,1.0,0.7061,0.6364,1,0.238,True,MB Starter,C2-P1,1,33.24,0.8455,0.8656,0.935,1.0,1,0.0439,False
329-8115,1,MB Value,C2-P4,1,48.15,0.9151,1.0,0.8205,0.6903,1,0.1153,True,MB Plus,C2-P5,1,52.23,0.8947,1.0,0.7661,0.6364,1,0.1572,True,MB Starter,C2-P1,1,33.24,0.8533,0.8443,1.0,1.0,1,0.0,False
329-8436,1,MB Starter,C2-P1,1,33.24,0.8261,0.7732,0.9716,1.0,1,0.016,False,MB Basic,C2-P2,1,37.32,0.8135,0.8115,0.9375,0.8907,1,0.0417,False,MB Standard,C2-P3,1,42.9,0.8133,0.9103,0.8825,0.7748,1,0.0844,False
329-8638,1,MB Starter,C2-P1,1,33.24,0.8298,0.8345,0.91,1.0,1,0.0703,False,MB Basic,C2-P2,1,37.32,0.8324,0.9051,0.8994,0.8907,1,0.0758,False,MB Standard,C2-P3,1,42.9,0.8029,0.9465,0.8142,0.7748,1,0.1936,False
329-8669,0,HH Plus,C1-P5,0,51.51,0.897,1.0,0.7854,0.6453,1,0.1759,True,HH Select,C1-P6,0,54.2,0.8842,1.0,0.749,0.6133,1,0.2017,True,HH Advance,C1-P7,0,58.5,0.8667,1.0,0.7016,0.5682,1,0.2378,True
329-8788,0,HH Starter,C1-P1,0,34.69,0.8208,0.787,0.957,0.9582,1,0.026,False,HH Basic,C1-P2,0,39.29,0.8164,0.8487,0.9311,0.846,1,0.0476,False,HH Standard,C1-P3,0,42.72,0.8084,0.8772,0.9022,0.7781,1,0.0682,False
329-9001,0,HH Value,C1-P4,0,47.43,0.8761,1.0,0.6731,0.7008,1,0.2994,True,HH Plus,C1-P5,0,51.51,0.8554,1.0,0.6252,0.6453,1,0.3514,True,HH Select,C1-P6,0,54.2,0.8429,1.0,0.5992,0.6133,1,0.3895,True
329-9046,0,HH Starter,C1-P1,0,34.69,0.8472,0.8686,0.9659,0.9582,1,0.0194,False,HH Basic,C1-P2,0,39.29,0.8321,0.9056,0.9218,0.846,1,0.0477,False,HH Standard,C1-P3,0,42.72,0.8197,0.9229,0.8897,0.7781,1,0.0731,False
329-9067,0,HH Starter,C1-P1,0,34.69,0.8013,0.6918,1.0,0.9582,1,0.0,False,HH Basic,C1-P2,0,39.29,0.8063,0.7648,1.0,0.846,1,0.0,False,HH Standard,C1-P3,0,42.72,0.8117,0.8167,1.0,0.7781,1,0.0,False
329-9364,1,MB Starter,C2-P1,1,33.24,0.8142,0.7139,1.0,1.0,1,0.0,False,MB Basic,C2-P2,1,37.32,0.8171,0.7783,1.0,0.8907,1,0.0,False,MB Standard,C2-P3,1,42.9,0.8103,0.8634,0.9317,0.7748,1,0.047,False
329-9517,0,HH Starter,C1-P1,0,34.69,0.8398,0.8819,0.9125,0.9582,1,0.0536,False,HH Basic,C1-P2,0,39.29,0.8193,0.9082,0.8585,0.846,1,0.0884,False,HH Standard,C1-P3,0,42.72,0.807,0.9258,0.8261,0.7781,1,0.1134,False
329-9667,0,HH Starter,C1-P1,0,34.69,0.8243,0.8077,0.9447,0.9582,1,0.0348,False,HH Basic,C1-P2,0,39.29,0.8113,0.8474,0.9118,0.846,1,0.0665,False,HH Standard,C1-P3,0,42.72,0.8054,0.8772,0.8954,0.7781,1,0.0876,False
329-9689,0,HH Starter,C1-P1,0,34.69,0.8305,0.7918,0.9963,0.9582,1,0.0019,False,HH Basic,C1-P2,0,39.29,0.8179,0.8346,0.9553,0.846,1,0.0272,False,HH Standard,C1-P3,0,42.72,0.8127,0.8672,0.9348,0.7781,1,0.0441,False
329-9847,0,HH Advance,C1-P7,0,58.5,0.8778,1.0,0.7473,0.5682,1,0.1956,True,HH Starter,C1-P1,0,34.69,0.8365,0.8211,0.9825,0.9582,1,0.0094,False,HH Basic,C1-P2,0,39.29,0.83,0.8768,0.9517,0.846,1,0.027,False
330-1175,1,MB Value,C2-P4,1,48.15,0.8771,1.0,0.6756,0.6903,1,0.2783,True,MB Plus,C2-P5,1,52.23,0.8569,1.0,0.6336,0.6364,1,0.3361,True,MB Starter,C2-P1,1,33.24,0.8681,0.9516,0.9187,1.0,1,0.0523,False
330-1627,1,MB Value,C2-P4,1,48.15,0.9131,1.0,0.8141,0.6903,1,0.1255,True,MB Plus,C2-P5,1,52.23,0.8927,1.0,0.7599,0.6364,1,0.1677,True,MB Starter,C2-P1,1,33.24,0.8558,0.8528,1.0,1.0,1,0.0,False
330-1835,0,HH Value,C1-P4,0,47.43,0.9019,1.0,0.7608,0.7008,1,0.1736,True,HH Plus,C1-P5,0,51.51,0.8813,1.0,0.7122,0.6453,1,0.2236,True,HH Select,C1-P6,0,54.2,0.8688,1.0,0.6854,0.6133,1,0.2599,True
330-2635,0,HH Select,C1-P6,0,54.2,0.8392,1.0,0.5996,0.6133,1,0.4273,True,HH Advance,C1-P7,0,58.5,0.8217,1.0,0.5636,0.5682,1,0.4804,True,HH Starter,C1-P1,0,34.69,0.8195,0.9031,0.7975,0.9582,1,0.1482,False
